scenario_id,strategy_id,strategy_kind,health_theta_d,health_alpha_d,health_migration_evidence_windows,health_migration_top_k_per_window,health_migration_cooldown_windows,scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
realistic_2pct,evidence_w2_d6,window_evidence,6,0.1,2,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.2,4011983,0.3,11983,0,3370,11983,11690,8,8,0,570,634,634,6764,18.9,18.8,10975,9666,88.1
realistic_2pct,evidence_w3_d4,window_evidence,4,0.1,3,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.8,4.2,4012398,0.3,12398,0,3041,12398,12089,12,8,0,566,634,634,6174,18.9,18.8,11437,10107,88.4
realistic_2pct,evidence_w3_d6,window_evidence,6,0.1,3,0,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.3,4013075,0.3,13075,0,3370,13075,12760,8,6,0,573,634,634,6764,18.9,18.8,11985,10662,89.0
realistic_2pct,topk_k2_d4,topk_budgeted,4,0.1,0,2,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.8,4.2,4011470,0.3,11470,0,3041,11470,11180,12,10,0,564,634,634,6174,18.9,18.8,10597,9268,87.5
realistic_2pct,topk_k2_d6,topk_budgeted,6,0.1,0,2,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.2,4012140,0.3,12140,0,3370,12140,11843,8,7,0,571,634,634,6764,18.9,18.8,11125,9816,88.2
realistic_2pct,topk_k4_d4,topk_budgeted,4,0.1,0,4,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.8,4.2,4011177,0.3,11177,0,3041,11177,10892,12,12,0,562,634,634,6174,18.9,18.8,10322,8993,87.1
realistic_2pct,topk_k4_d6,topk_budgeted,6,0.1,0,4,0,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.2,4012061,0.3,12061,0,3370,12061,11766,8,7,0,571,634,634,6764,18.9,18.8,11043,9734,88.1
realistic_2pct,hybrid_w2_k2_d4_c1,hybrid,4,0.1,2,2,1,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.8,4.2,4012808,0.3,12808,0,3041,12808,12495,12,8,0,568,634,634,6174,18.9,18.8,11840,10509,88.8
realistic_2pct,hybrid_w2_k4_d4_c1,hybrid,4,0.1,2,4,1,dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.8,4.2,4012467,0.3,12467,0,3041,12467,12158,12,8,0,566,634,634,6174,18.9,18.8,11524,10180,88.3
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.5,17.4,31.3,0.0,12.5,323.0,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,27.4,64.1,-1,-1,-1.0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,late_binding,15.0,10.7,14.1,15.8,49.6,2.6,7.0,5000000,25.0,1000000,150000,5963,1000000,799767,0,-1,-1,-1,-1,43,16522,15.8,15.8,-1,-1,-1.0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.5,17.3,22.3,28.6,11.6,67.0,4176844,4.4,176844,24274,5130,176844,17030,0,-1,-1,-1,56,56,10678,23.3,25.3,-1,-1,-1.0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.2,3.9,4013483,0.3,13483,0,3931,13483,13145,4,4,0,571,1014,1014,7958,18.9,18.8,12250,11007,89.9
realistic_2pct,migration_disabled,disabled,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.2,1.4,4.3,4018769,0.5,18769,0,5630,18769,18353,0,0,0,579,1014,1014,11128,19.0,18.8,16905,15691,92.8
realistic_2pct,threshold_d2_a005,threshold_alpha,2,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4009008,0.2,9008,0,2600,9008,8717,20,19,0,537,1014,1014,5524,18.9,18.8,8433,7086,84.0
realistic_2pct,threshold_d4_a005,threshold_alpha,4,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4010799,0.3,10799,0,3206,10799,10486,10,10,0,557,1014,1014,6594,18.9,18.8,9893,8612,87.1
realistic_2pct,threshold_d6_a005,threshold_alpha,6,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4011600,0.3,11600,0,3394,11600,11281,8,8,0,562,1014,1014,6952,18.9,18.8,10608,9352,88.2
realistic_2pct,threshold_d8_a005,threshold_alpha,8,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.2,3.9,4012397,0.3,12397,0,3650,12397,12067,6,6,0,566,1014,1014,7450,18.9,18.8,11259,10015,89.0
realistic_2pct,threshold_d2_a010,threshold_alpha,2,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.9,4008608,0.2,8608,0,2515,8608,8323,22,21,0,530,1014,1014,5365,18.9,18.8,8093,6724,83.1
realistic_2pct,threshold_d4_a010,threshold_alpha,4,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.9,4010205,0.3,10205,0,3049,10205,9906,12,12,0,553,1014,1014,6322,18.9,18.8,9451,8128,86.0
realistic_2pct,threshold_d6_a010,threshold_alpha,6,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4011441,0.3,11441,0,3394,11441,11124,8,8,0,562,1014,1014,6952,18.9,18.8,10459,9201,88.0
realistic_2pct,threshold_d8_a010,threshold_alpha,8,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.2,3.8,4012202,0.3,12202,0,3650,12202,11877,6,6,0,566,1014,1014,7450,18.9,18.8,11077,9833,88.8
realistic_2pct,evidence_w2_d4,window_evidence,4,0.1,2,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4011371,0.3,11371,0,3049,11371,11031,12,12,0,553,1014,1014,6323,18.9,18.8,10465,9161,87.5
realistic_2pct,evidence_w2_d6,window_evidence,6,0.1,2,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4012384,0.3,12384,0,3394,12384,12032,8,8,0,562,1014,1014,6953,18.9,18.8,11295,10037,88.9
realistic_2pct,evidence_w3_d4,window_evidence,4,0.1,3,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4012716,0.3,12716,0,3049,12716,12347,12,8,0,557,1014,1014,6324,18.9,18.8,11693,10386,88.8
realistic_2pct,evidence_w3_d6,window_evidence,6,0.1,3,0,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4013485,0.3,13485,0,3394,13485,13107,8,6,0,564,1014,1014,6954,18.9,18.8,12294,11036,89.8
