scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,disk8_state,disk9_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_degradation,health_ec,42..71,30,15,5,25000,30000,mild_slow,healthy,1,13.1,13,13.2,28.8,27.9,29.9,37.6,36,38.9,20034.5,20012,20064,0.2,0.1,0.3,34.5,12,64,34.5,12,64,32,10,60,1,0,2,1,0,2,0,0,0
dynamic_degradation,health_ec,42..71,30,15,6,30000,35000,severe_slow,healthy,1,13.1,12.9,13.2,64.3,60.6,66.9,87.7,83.4,93.8,20109.5,20076,20134,0.5,0.4,0.7,109.5,76,134,109.5,76,134,109,76,134,3,1,5,3,1,5,0,0,1
dynamic_degradation,health_ec,42..71,30,15,7,35000,40000,severe_slow,healthy,1,13,12.9,13.1,63.45,60.4,65.2,86.55,84.1,93.8,20072.5,20034,20110,0.4,0.2,0.5,72.5,34,110,72.5,34,110,71,34,107,2,1,4,2,1,4,0,0,0
dynamic_degradation,health_ec,42..71,30,15,8,40000,45000,severe_slow,healthy,1,13,12.9,13.1,63.4,61.5,66.5,86.1,82.2,91.9,20037,20025,20059,0.2,0.1,0.3,37,25,59,37,25,59,37,25,58,1,0,3,1,0,3,0,0,0
dynamic_degradation,health_ec,42..71,30,15,9,45000,50000,recovery,mild_slow,1,13.2,13.1,13.3,29.5,28.7,30.2,38.15,36,40.2,20128.5,20102,20156,0.6,0.5,0.8,128.5,102,156,128.5,102,156,127,100,152,7,6,9,7,6,9,0,0,0
dynamic_degradation,health_ec,42..71,30,15,10,50000,55000,recovery,mild_slow,1,13.15,13,13.2,29.3,28.4,29.9,37.85,36.8,39.7,20050,20017,20081,0.25,0.1,0.4,50,17,81,50,17,81,47,17,78,1,0,3,1,0,3,0,0,0
dynamic_degradation,health_ec,42..71,30,15,11,55000,60000,healthy,severe_slow,1,13.1,12.9,13.2,64.2,62.4,67,86.3,81,92.6,20113.5,20081,20140,0.6,0.4,0.7,113.5,81,140,113.5,81,140,113,81,140,4,2,6,4,2,6,0,0,1
dynamic_degradation,health_ec,42..71,30,15,12,60000,65000,healthy,severe_slow,1,13,12.9,13.1,63.3,61.7,65.5,86.65,83.6,90.5,20080.5,20050,20101,0.4,0.2,0.5,80.5,50,101,80.5,50,101,79.5,50,101,2.5,0,4,2.5,0,4,0,0,0
dynamic_degradation,health_ec,42..71,30,15,13,65000,70000,healthy,severe_slow,1,13,12.9,13.1,63.45,61.2,65.8,87.7,84.1,91.2,20039.5,20008,20065,0.2,0,0.3,39.5,8,65,39.5,8,65,38.5,7,64,1,0,3,1,0,3,0,0,0
dynamic_degradation,health_ec,42..71,30,15,14,70000,75000,mild_slow,recovery,1,13.1,12.9,13.1,28.25,27.2,29.3,37.2,35.9,39.5,20006.5,20001,20065,0,0,0.3,6.5,1,65,6.5,1,65,5.5,1,62,0,0,1,0,0,1,0,0,0
dynamic_degradation,health_ec,42..71,30,15,15,75000,80000,recovery,recovery,0,12.9,12.8,13,18.9,18.6,19.1,23.1,22.3,24,20000.5,20000,20010,0,0,0.1,0.5,0,10,0.5,0,10,0,0,7,0,0,0,0,0,0,0,0,0
dynamic_degradation,health_ec,42..71,30,15,16,80000,85000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,17.1,18.85,18.6,19,20000,20000,20020,0,0,0.1,0,0,20,0,0,20,0,0,17,0,0,1,0,0,0,0,0,1
dynamic_degradation,health_ec,42..71,30,15,17,85000,90000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,17,18.8,18.5,19.1,20000,20000,20017,0,0,0.1,0,0,17,0,0,17,0,0,15,0,0,0,0,0,0,0,0,0
dynamic_degradation,health_ec,42..71,30,15,18,90000,95000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,17,18.8,18.4,19.1,20000,20000,20010,0,0,0.1,0,0,10,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0
dynamic_degradation,health_ec,42..71,30,15,19,95000,100000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,17,18.85,18.5,19.2,20000,20000,20010,0,0,0.1,0,0,10,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0
