name,case_id,seed,kind,returncode,stderr_empty,stdout_lines,expected_success,expected_stderr
slow_ratio_10pct_seed65_aggregate_csv_extended,slow_ratio_10pct,65,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed65_windowed_csv,slow_ratio_10pct,65,windowed,0,1,81,1,
slow_ratio_10pct_seed66_aggregate_csv_extended,slow_ratio_10pct,66,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed66_windowed_csv,slow_ratio_10pct,66,windowed,0,1,81,1,
slow_ratio_10pct_seed67_aggregate_csv_extended,slow_ratio_10pct,67,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed67_windowed_csv,slow_ratio_10pct,67,windowed,0,1,81,1,
slow_ratio_10pct_seed68_aggregate_csv_extended,slow_ratio_10pct,68,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed68_windowed_csv,slow_ratio_10pct,68,windowed,0,1,81,1,
slow_ratio_10pct_seed69_aggregate_csv_extended,slow_ratio_10pct,69,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed69_windowed_csv,slow_ratio_10pct,69,windowed,0,1,81,1,
slow_ratio_10pct_seed70_aggregate_csv_extended,slow_ratio_10pct,70,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed70_windowed_csv,slow_ratio_10pct,70,windowed,0,1,81,1,
slow_ratio_10pct_seed71_aggregate_csv_extended,slow_ratio_10pct,71,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed71_windowed_csv,slow_ratio_10pct,71,windowed,0,1,81,1,
slow_ratio_10pct_seed42_event_trace,slow_ratio_10pct,42,event_trace,0,1,66,1,
slow_ratio_20pct_seed42_aggregate_csv_extended,slow_ratio_20pct,42,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed42_windowed_csv,slow_ratio_20pct,42,windowed,0,1,81,1,
slow_ratio_20pct_seed43_aggregate_csv_extended,slow_ratio_20pct,43,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed43_windowed_csv,slow_ratio_20pct,43,windowed,0,1,81,1,
slow_ratio_20pct_seed44_aggregate_csv_extended,slow_ratio_20pct,44,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed44_windowed_csv,slow_ratio_20pct,44,windowed,0,1,81,1,
slow_ratio_20pct_seed45_aggregate_csv_extended,slow_ratio_20pct,45,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed45_windowed_csv,slow_ratio_20pct,45,windowed,0,1,81,1,
slow_ratio_20pct_seed46_aggregate_csv_extended,slow_ratio_20pct,46,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed46_windowed_csv,slow_ratio_20pct,46,windowed,0,1,81,1,
slow_ratio_20pct_seed47_aggregate_csv_extended,slow_ratio_20pct,47,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed47_windowed_csv,slow_ratio_20pct,47,windowed,0,1,81,1,
slow_ratio_20pct_seed48_aggregate_csv_extended,slow_ratio_20pct,48,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed48_windowed_csv,slow_ratio_20pct,48,windowed,0,1,81,1,
slow_ratio_20pct_seed49_aggregate_csv_extended,slow_ratio_20pct,49,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed49_windowed_csv,slow_ratio_20pct,49,windowed,0,1,81,1,
slow_ratio_20pct_seed50_aggregate_csv_extended,slow_ratio_20pct,50,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed50_windowed_csv,slow_ratio_20pct,50,windowed,0,1,81,1,
slow_ratio_20pct_seed51_aggregate_csv_extended,slow_ratio_20pct,51,aggregate_extended,0,1,5,1,
