scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads
dynamic_degradation,61,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.2,132.1,142.4,442287,10.6,42287,2440,9099,42287,23366,0,0,0,-1,0,0,18589
dynamic_degradation,61,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.0,78.6,13.1,419.1,581.7,416412,4.1,16412,21,4203,16412,16185,4497,4124,373,680,13,13,8997
dynamic_degradation,62,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.5,90.8,0.0,503.8,3326.7,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,62,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.3,78.7,37.9,49.2,500000,25.0,100000,15000,10482,100000,81597,0,0,0,-1,-1,1,28667
dynamic_degradation,62,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.4,131.4,144.0,442228,10.6,42228,2424,9026,42228,23597,0,0,0,-1,1,5,18383
dynamic_degradation,62,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.4,78.7,13.4,418.9,580.5,416343,4.1,16343,0,4008,16343,16112,4436,4121,315,678,12,12,8608
dynamic_degradation,63,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,91.0,0.0,501.6,3330.0,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,63,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,78.9,37.1,49.6,500000,25.0,100000,15000,10379,100000,81312,0,0,0,-1,-1,8,28558
dynamic_degradation,63,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.5,131.4,142.8,441843,10.5,41843,2403,8931,41843,23282,0,0,0,-1,8,8,18302
dynamic_degradation,63,100000,500,1.0,20,5000,health_ec,15.0,13.2,46.6,78.2,14.0,418.5,586.2,416222,4.1,16222,0,4178,16222,16033,4434,4113,321,654,23,23,8707
dynamic_degradation,64,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,90.7,0.0,502.1,3327.6,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,64,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.7,38.7,53.1,500000,25.0,100000,15000,10527,100000,81419,0,0,0,-1,-1,2,28760
dynamic_degradation,64,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.3,132.6,145.6,442003,10.5,42003,2402,9005,42003,23528,0,0,0,-1,2,2,18434
dynamic_degradation,64,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.1,78.5,13.5,423.3,601.2,416016,4.0,16016,9,4028,16016,15810,4345,4064,281,677,7,7,8619
dynamic_degradation,65,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,91.9,0.0,509.4,3343.6,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,65,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,79.0,38.6,51.9,500000,25.0,100000,15000,10370,100000,81434,0,0,0,-1,-1,1,28511
dynamic_degradation,65,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.7,134.7,141.5,441892,10.5,41892,2354,8899,41892,23285,0,0,0,-1,1,1,18371
dynamic_degradation,65,100000,500,1.0,20,5000,health_ec,15.0,13.2,46.7,78.0,15.1,420.2,590.0,416415,4.1,16415,11,4151,16415,16181,4420,4090,330,658,10,10,8944
dynamic_degradation,66,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,91.4,0.0,502.8,3390.6,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,66,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,37.2,52.1,500000,25.0,100000,15000,10529,100000,81547,0,0,0,-1,-1,0,29034
dynamic_degradation,66,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.5,132.2,143.0,442269,10.6,42269,2463,9040,42269,23641,0,0,0,-1,0,0,18619
dynamic_degradation,66,100000,500,1.0,20,5000,health_ec,15.0,13.2,46.8,78.2,14.5,417.9,584.7,416289,4.1,16289,0,4056,16289,16124,4473,4189,284,695,7,7,8618
dynamic_degradation,67,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,90.5,0.0,503.1,3317.0,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,67,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,78.8,38.2,51.6,500000,25.0,100000,15000,10467,100000,81477,0,0,0,-1,-1,0,28662
dynamic_degradation,67,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.3,132.1,141.6,441859,10.5,41859,2462,8982,41859,23260,0,0,0,-1,0,0,18335
dynamic_degradation,67,100000,500,1.0,20,5000,health_ec,15.0,13.1,47.2,78.6,13.1,418.1,590.3,416196,4.0,16196,0,4162,16196,16009,4395,4085,310,674,8,8,8612
dynamic_degradation,68,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.5,92.2,0.0,506.6,3346.3,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,68,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,79.1,37.0,51.7,500000,25.0,100000,15000,10418,100000,81488,0,0,0,-1,-1,0,28576
dynamic_degradation,68,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.9,132.1,142.1,441954,10.5,41954,2407,8889,41954,23344,0,0,0,-1,0,2,18261
dynamic_degradation,68,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.1,79.8,13.4,421.0,618.0,415987,4.0,15987,0,3996,15987,15808,4377,4071,306,688,27,27,8520
dynamic_degradation,69,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,90.6,0.0,504.7,3334.6,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,69,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,78.8,39.0,52.8,500000,25.0,100000,15000,10308,100000,81582,0,0,0,-1,-1,1,28576
dynamic_degradation,69,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.3,133.6,142.7,442017,10.5,42017,2420,8849,42017,23457,0,0,0,-1,3,4,18365
dynamic_degradation,69,100000,500,1.0,20,5000,health_ec,15.0,13.1,47.3,77.9,14.0,418.6,579.5,416179,4.0,16179,18,4055,16179,16006,4433,4140,293,671,11,11,8603
dynamic_degradation,70,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,91.1,0.0,504.5,3332.6,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,70,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,79.0,37.0,49.9,500000,25.0,100000,15000,10381,100000,81569,0,0,0,-1,-1,1,28617
dynamic_degradation,70,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.4,131.3,141.5,441875,10.5,41875,2455,8897,41875,23415,0,0,0,-1,1,9,18202
dynamic_degradation,70,100000,500,1.0,20,5000,health_ec,15.0,13.2,46.7,79.3,12.9,418.7,599.1,416037,4.0,16037,10,3995,16037,15884,4396,4137,259,671,24,24,8428
dynamic_degradation,71,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.5,90.8,0.0,504.5,3318.1,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,71,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,78.9,37.7,51.2,500000,25.0,100000,15000,10285,100000,81477,0,0,0,-1,-1,0,28617
dynamic_degradation,71,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.3,131.9,142.8,442080,10.5,42080,2435,8812,42080,23472,0,0,0,-1,0,1,18348
dynamic_degradation,71,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.4,79.3,12.7,423.3,599.0,416282,4.1,16282,0,4001,16282,16060,4397,4091,306,688,26,26,8636
