case_id,sensitivity_axis,sensitivity_value,slowdown_scale,scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,44,1000000,5000,1.2,20,50000,late_binding,15.0,10.7,14.3,19.0,29.7,6.7,218.6,5000000,25.0,1000000,150000,4567,1000000,798909,0,-1,-1,-1,-1,0,13443,20.9,47.0,-1,-1,-1.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,44,1000000,5000,1.2,20,50000,timeout_degraded_read,15.0,12.5,17.2,23.3,13.6,8.0,201.9,4174060,4.4,174060,24372,3817,174060,14681,0,-1,-1,-1,0,0,6928,24.7,47.0,-1,-1,-1.0
zipf_1_2,zipf,1.2,1,dynamic_sensitivity_100d_4pct_hdd,100,44,1000000,5000,1.2,20,50000,health_ec,15.0,12.5,17.0,19.9,26.1,3.7,93.0,4007525,0.2,7525,0,2031,7525,6959,6,6,0,559,2401,2401,3385,21.5,32.8,7881,5697,72.3
slowdown_0_5,slowdown_scale,0.5,0.5,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.3,24.1,0.0,11.4,159.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,22.0,42.2,-1,-1,-1.0
slowdown_0_5,slowdown_scale,0.5,0.5,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.3,17.5,27.4,7.6,95.9,5000000,25.0,1000000,150000,6389,1000000,798205,0,-1,-1,-1,-1,12,18898,16.9,30.0,-1,-1,-1.0
slowdown_0_5,slowdown_scale,0.5,0.5,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.3,22.1,8.3,11.1,85.0,4176003,4.4,176003,24130,3924,176003,14148,0,-1,-1,-1,12,261,8126,21.1,30.4,-1,-1,-1.0
slowdown_0_5,slowdown_scale,0.5,0.5,dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,20.2,16.4,6.4,67.6,4011670,0.3,11670,0,3014,11670,10899,6,6,0,1137,770,770,4937,20.3,28.3,13919,9116,65.5
slowdown_0_5,slowdown_scale,0.5,0.5,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.3,24.0,0.0,10.6,157.4,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,21.9,42.2,-1,-1,-1.0
slowdown_0_5,slowdown_scale,0.5,0.5,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.3,17.6,26.8,7.3,96.2,5000000,25.0,1000000,150000,6447,1000000,798206,0,-1,-1,-1,-1,119,18875,17.0,29.9,-1,-1,-1.0
slowdown_0_5,slowdown_scale,0.5,0.5,dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.2,22.1,7.8,10.3,84.5,4176539,4.4,176539,24335,3979,176539,13935,0,-1,-1,-1,119,128,8072,21.3,30.3,-1,-1,-1.0
